****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=100.
Parallel execution requested.  Will use 4 threads.
Random seed: 1661820536
Point estimation method: Block relaxation algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate at 200 iterations
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 92x218126
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 4.083	Loglikelihood: -1.37445e+07	(delta): 9.39588e+06
2 (EM) 	Elapsed: 4.086	Loglikelihood: -1.30906e+07	(delta): 653924
3 (EM) 	Elapsed: 4.091	Loglikelihood: -1.29017e+07	(delta): 188875
4 (EM) 	Elapsed: 4.084	Loglikelihood: -1.27507e+07	(delta): 150992
5 (EM) 	Elapsed: 4.085	Loglikelihood: -1.26021e+07	(delta): 148580
Initial loglikelihood: -1.26021e+07
Starting main algorithm
1 (QN/Block) 	Elapsed: 9.311	Loglikelihood: -1.036e+07	(delta): 2.2421e+06
2 (QN/Block) 	Elapsed: 6.958	Loglikelihood: -9.84299e+06	(delta): 517043
3 (QN/Block) 	Elapsed: 7.412	Loglikelihood: -9.55695e+06	(delta): 286040
4 (QN/Block) 	Elapsed: 7.394	Loglikelihood: -9.39293e+06	(delta): 164017
5 (QN/Block) 	Elapsed: 7.379	Loglikelihood: -9.30988e+06	(delta): 83058
6 (QN/Block) 	Elapsed: 7.357	Loglikelihood: -9.27534e+06	(delta): 34531.8
7 (QN/Block) 	Elapsed: 7.361	Loglikelihood: -9.25161e+06	(delta): 23738.1
8 (QN/Block) 	Elapsed: 7.318	Loglikelihood: -9.23388e+06	(delta): 17722.7
9 (QN/Block) 	Elapsed: 7.375	Loglikelihood: -9.22533e+06	(delta): 8556.31
10 (QN/Block) 	Elapsed: 7.308	Loglikelihood: -9.21929e+06	(delta): 6037.66
11 (QN/Block) 	Elapsed: 7.335	Loglikelihood: -9.21592e+06	(delta): 3366.1
12 (QN/Block) 	Elapsed: 7.339	Loglikelihood: -9.21419e+06	(delta): 1736.06
